step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
3100,2.328718,,0.0006,399285.0,0.1089,2123.1,812908544.0,656.5
3110,2.273143,,0.0006,399980.0,0.0893,2129.6,815529984.0,655.4
3120,2.270087,,0.0006,399573.0,0.0926,2136.2,818151424.0,656.1
3130,2.315354,,0.0006,399356.0,0.0899,2142.8,820772864.0,656.4
3140,2.339431,,0.0006,399981.0,0.09,2149.3,823394304.0,655.4
3150,2.252383,,0.0006,399699.0,0.0912,2155.9,826015744.0,655.9
3160,2.31402,,0.0006,399287.0,0.0877,2162.5,828637184.0,656.5
3170,2.31593,,0.0006,399130.0,0.0887,2169.0,831258624.0,656.8
3180,2.297931,,0.0006,399506.0,0.0902,2175.6,833880064.0,656.2
3190,2.261652,,0.0006,400893.0,0.0888,2182.1,836501504.0,653.9
3200,2.256793,,0.0006,402291.0,0.0866,2188.7,839122944.0,651.6
3210,2.253723,,0.0006,399742.0,0.0901,2195.3,841744384.0,655.8
3220,2.240384,,0.0006,400247.0,0.0901,2201.8,844365824.0,655.0
3230,2.225165,,0.0006,400635.0,0.0853,2208.3,846987264.0,654.3
3240,2.275158,,0.0006,399181.0,0.0898,2214.9,849608704.0,656.7
3250,2.213616,,0.0006,399150.0,0.0889,2221.5,852230144.0,656.8
3260,2.238436,,0.0006,400922.0,0.0849,2228.0,854851584.0,653.9
3270,2.271173,,0.0006,399041.0,0.0901,2234.6,857473024.0,656.9
3280,2.214059,,0.0006,400611.0,0.0879,2241.2,860094464.0,654.4
3290,2.249457,,0.0006,400253.0,0.0939,2247.7,862715904.0,654.9
3300,2.270202,,0.0006,401256.0,0.0908,2254.3,865337344.0,653.3
3310,2.263013,,0.0006,399520.0,0.0942,2260.8,867958784.0,656.1
3320,2.257112,,0.0006,400689.0,0.0866,2267.4,870580224.0,654.2
3330,2.255942,,0.0006,401693.0,0.0884,2273.9,873201664.0,652.6
3340,2.242471,,0.0006,400795.0,0.0889,2280.5,875823104.0,654.1
3350,2.231698,,0.0006,398564.0,0.094,2287.1,878444544.0,657.7
3360,2.186185,,0.0006,399978.0,0.0876,2293.6,881065984.0,655.4
3370,2.252287,,0.0006,399490.0,0.0929,2300.2,883687424.0,656.2
3380,2.262454,,0.0006,398666.0,0.0957,2306.7,886308864.0,657.6
3390,2.212615,,0.0006,400100.0,0.0873,2313.4,888930304.0,655.2
3400,2.298222,,0.0006,400342.0,0.0887,2319.9,891551744.0,654.8
3410,2.274949,,0.0006,397479.0,0.0883,2326.5,894173184.0,659.5
3420,2.203853,,0.0006,399893.0,0.0895,2333.1,896794624.0,655.5
3430,2.260374,,0.0006,400577.0,0.0921,2339.6,899416064.0,654.4
3440,2.236084,,0.0006,401384.0,0.0999,2346.2,902037504.0,653.1
3450,2.273493,,0.0006,399542.0,0.0881,2352.7,904658944.0,656.1
3460,2.30049,,0.0006,399701.0,0.0857,2359.3,907280384.0,655.9
3470,2.207213,,0.0006,399812.0,0.0872,2365.8,909901824.0,655.7
3480,2.189478,,0.0006,399301.0,0.0836,2372.4,912523264.0,656.5
3490,2.230676,,0.0006,398664.0,0.0869,2379.0,915144704.0,657.6
3500,2.220248,,0.0006,400473.0,0.0861,2385.5,917766144.0,654.6
3510,2.165541,,0.0006,399678.0,0.0858,2393.7,920387584.0,655.9
3520,2.276452,,0.0006,399382.0,0.09,2400.2,923009024.0,656.4
3530,2.263301,,0.0006,399770.0,0.0908,2406.8,925630464.0,655.7
3540,2.276517,,0.0006,399667.0,0.0863,2413.3,928251904.0,655.9
3550,2.202842,,0.0006,398922.0,0.0893,2419.9,930873344.0,657.1
3560,2.21844,,0.0006,399834.0,0.0919,2426.6,933494784.0,655.6
3570,2.221956,,0.0006,399501.0,0.0867,2433.1,936116224.0,656.2
3580,2.220919,,0.0006,402478.0,0.0844,2439.7,938737664.0,651.3
